TimeStamp,Station.Number,Distance.from.36,Depth,Nitrate,Phosphate
2000-04,33,6.81,7,20.57,4.87
2000-04,34,3.53,3.1,34.815,5.825
2000-04,35,1.66,4.5,24.03,4.93
2000-04,36,0,4,42.28,6.23
2000-04,649,132.94,6,,
2000-04,657,147.25,5.5,,
2000-05,2,127.71,5.5,,
2000-05,3,125.32,7,23.36,1.54
2000-05,4,119.9,9,,
2000-05,8,99.77,8,,
2000-05,9,96.79,12.5,24.07,2.19
2000-05,10,93.6,9,,
2000-05,11,89.77,7.5,,
2000-05,12,84.45,5.5,,
2000-05,13,78.54,5.5,20.33,2.27
2000-05,14,74.43,8,,
2000-05,15,69.99,12,19.2,2.26
2000-05,16,63.08,6,19.04,2.25
2000-05,17,58.89,6,,
2000-05,18,54.95,20.5,17.63,2.11
2000-05,20,51.45,13.5,,
2000-05,21,46.63,8.5,12.08,1.795
2000-05,22,43.92,9.5,10.07,2.3
2000-05,24,37.09,5.5,11.725,1.805
2000-05,25,32.84,4.5,7.75,2.09
2000-05,27,26.19,6,8.155,2.845
2000-05,29,20.25,8,10.93,3.56
2000-05,30,14.75,7,14.945,4.3
2000-05,32,8.15,6.5,23.905,5.61
2000-05,34,3.53,4.5,47.92,7.97
2000-05,36,0,3.5,50.79,8.33
2000-05,649,132.94,6,20.95,1.46
2000-05,657,147.25,5.5,19.32,1.49
2000-06,2,127.71,6,,
2000-06,3,125.32,6,,
2000-06,4,119.9,8.5,,
2000-06,8,99.77,8,,
2000-06,9,96.79,14.5,,
2000-06,10,93.6,10,,
2000-06,11,89.77,8,,
2000-06,12,84.45,5.5,,
2000-06,13,78.54,5.5,,
2000-06,14,74.43,7.5,,
2000-06,15,69.99,12,,
2000-06,16,63.08,7.5,,
2000-06,17,58.89,7,,
2000-06,18,54.95,20,,
2000-06,20,51.45,14.5,,
2000-06,21,46.63,8.5,,
2000-06,22,43.92,10,,
2000-06,24,37.09,5,,
2000-06,25,32.84,5,,
2000-06,27,26.19,7,,
2000-06,29,20.25,8,,
2000-06,30,14.75,8,,
2000-06,32,8.15,6.5,,
2000-06,34,3.53,5,,
2000-06,36,0,4,,
2000-06,657,147.25,5.5,,
2000-07,2,127.71,5.5,,
2000-07,3,125.32,6,,
2000-07,4,119.9,8,,
2000-07,8,99.77,6.5,,
2000-07,9,96.79,13,,
2000-07,10,93.6,9,,
2000-07,11,89.77,6,,
2000-07,12,84.45,5,,
2000-07,13,78.54,4.5,,
2000-07,14,74.43,7.5,,
2000-07,15,69.99,11.5,,
2000-07,16,63.08,6,,
2000-07,17,58.89,6,,
2000-07,18,54.95,22,,
2000-07,20,51.45,13,,
2000-07,21,46.63,9,,
2000-07,22,43.92,10.5,,
2000-07,24,37.09,5,,
2000-07,25,32.84,4.5,,
2000-07,27,26.19,6.5,,
2000-07,29,20.25,8,,
2000-07,30,14.75,7.5,,
2000-07,32,8.15,6.5,,
2000-07,34,3.53,4,,
2000-07,36,0,4,,
2000-07,649,132.94,6,,
2000-07,657,147.25,5.5,,
2000-08,2,127.71,6,,
2000-08,3,125.32,7,,
2000-08,4,119.9,9,,
2000-08,8,99.77,8,,
2000-08,9,96.79,16.5,,
2000-08,10,93.6,9,,
2000-08,11,89.77,6,,
2000-08,12,84.45,4.5,,
2000-08,13,78.54,5,,
2000-08,14,74.43,7.5,,
2000-08,15,69.99,11.5,,
2000-08,16,63.08,7,,
2000-08,17,58.89,7,,
2000-08,18,54.95,19.5,,
2000-08,20,51.45,13,,
2000-08,21,46.63,9,,
2000-08,22,43.92,9.5,,
2000-08,24,37.09,5.5,,
2000-08,25,32.84,4.5,,
2000-08,27,26.19,6.5,,
2000-08,29,20.25,8,,
2000-08,30,14.75,7.5,,
2000-08,32,8.15,7,,
2000-08,34,3.53,4,,
2000-08,36,0,4,,
2000-08,649,132.94,6,,
2000-08,657,147.25,5,,
2000-09,2,127.71,6,,
2000-09,3,125.32,6.5,,
2000-09,4,119.9,9.5,,
2000-09,8,99.77,8.5,,
2000-09,9,96.79,14,,
2000-09,10,93.6,10,,
2000-09,11,89.77,9,,
2000-09,12,84.45,4.5,,
2000-09,13,78.54,5,,
2000-09,14,74.43,7,,
2000-09,15,69.99,12,,
2000-09,16,63.08,6.5,,
2000-09,20,51.45,13,,
2000-09,21,46.63,9,,
2000-09,22,43.92,9.5,,
2000-09,24,37.09,5.5,,
2000-09,25,32.84,4.5,,
2000-09,27,26.19,6.5,,
2000-09,29,20.25,7.5,,
2000-09,30,14.75,7,,
2000-09,32,8.15,5.5,,
2000-09,34,3.53,4,,
2000-09,36,0,4,,
2000-09,649,132.94,6,,
2000-09,657,147.25,5.5,,
2000-10,2,127.71,5.5,,
2000-10,3,125.32,6,,
2000-10,4,119.9,9,,
2000-10,8,99.77,8,,
2000-10,9,96.79,17,,
2000-10,10,93.6,10,,
2000-10,11,89.77,10,,
2000-10,12,84.45,5,,
2000-10,13,78.54,6,,
2000-10,14,74.43,8.5,,
2000-10,15,69.99,13,,
2000-10,16,63.08,7.5,,
2000-10,17,58.89,6,,
2000-10,18,54.95,22.5,,
2000-10,20,51.45,4.5,,
2000-10,21,46.63,9,,
2000-10,22,43.92,9.5,,
2000-10,24,37.09,6,,
2000-10,25,32.84,4.5,,
2000-10,27,26.19,6.5,,
2000-10,29,20.25,8,,
2000-10,30,14.75,7.5,,
2000-10,32,8.15,7,,
2000-10,34,3.53,4.5,,
2000-10,36,0,4,,
2000-10,649,132.94,6.5,,
2000-10,657,147.25,6,,
2000-11,2,127.71,6,,
2000-11,3,125.32,6,,
2000-11,4,119.9,8.5,,
2000-11,8,99.77,8.5,,
2000-11,9,96.79,17,,
2000-11,10,93.6,9.5,,
2000-11,11,89.77,8,,
2000-11,12,84.45,5,,
2000-11,13,78.54,6,,
2000-11,14,74.43,8,,
2000-11,15,69.99,12,,
2000-11,16,63.08,7,,
2000-11,17,58.89,7.5,,
2000-11,18,54.95,19.5,,
2000-11,20,51.45,13.5,,
2000-11,21,46.63,9.5,,
2000-11,22,43.92,10,,
2000-11,24,37.09,6,,
2000-11,25,32.84,5,,
2000-11,27,26.19,7,,
2000-11,29,20.25,8,,
2000-11,30,14.75,7,,
2000-11,32,8.15,6.5,,
2000-11,34,3.53,3.5,,
2000-11,36,0,4.5,,
2000-11,649,132.94,6,,
2000-11,657,147.25,5.5,,
2000-12,2,127.71,6,,
2000-12,3,125.32,7,,
2000-12,4,119.9,9,,
2000-12,5,115.63,6,,
2000-12,6,110.9,6.5,,
2000-12,7,104.98,8.5,,
2000-12,8,99.77,8,,
2000-12,9,96.79,16.5,,
2000-12,10,93.6,10,,
2000-12,11,89.77,6.5,,
2000-12,12,84.45,5,,
2000-12,13,78.54,6,,
2000-12,14,74.43,8.5,,
2000-12,15,69.99,12.5,,
2000-12,16,63.08,7.5,,
2000-12,17,58.89,7.5,,
2000-12,18,54.95,19.5,,
2000-12,21,46.63,9,,
2000-12,22,43.92,9.5,,
2000-12,23,39.66,7.5,,
2000-12,24,37.09,5.5,,
2000-12,25,32.84,5,,
2000-12,26,28.76,6,,
2000-12,27,26.19,7,,
2000-12,28,23.57,8.5,,
2000-12,29,20.25,8,,
2000-12,29.5,17.56,8,,
2000-12,30,14.75,7.5,,
2000-12,31,10.61,7.5,,
2000-12,32,8.15,7,,
2000-12,33,6.81,7.5,,
2000-12,34,3.53,4.5,,
2000-12,35,1.66,5,,
2000-12,36,0,4.5,,
2000-12,649,132.94,6.5,,
2000-12,657,147.25,6.5,,
2001-02,2,127.71,6.260869565,30.04,1.96
2001-02,3,125.32,7.259259259,29.89,1.95
2001-02,4,119.9,8.322580645,29.8,1.89
2001-02,8,99.77,8.5,25.18,2.08
2001-02,9,96.79,15.28813559,24.41,2.09
2001-02,10,93.6,11.21428571,24.07,2.07
2001-02,11,89.77,7,23.23,2.07
2001-02,12,84.45,5.263157895,21.39,1.97
2001-02,13,78.54,5.761904762,18.74,1.89
2001-02,14,74.43,7.75862069,18.74,1.88
2001-02,15,69.99,12.25531915,18.81,1.89
2001-02,16,63.08,7.5,,
2001-02,17,58.89,7,15.92,1.74
2001-02,18,54.95,21.27710843,12.97,1.42
2001-02,20,51.45,12.19565217,,
2001-02,21,46.63,9.257142857,16.39,1.825
2001-02,22,43.92,9.756756757,16.2,1.76
2001-02,23,39.66,8.784615385,16.4,1.84
2001-02,24,37.09,5.761904762,18.32,2.09
2001-02,25,32.84,4.885714286,20.84,2.73
2001-02,26,28.76,6.03030303,19.62,2.81
2001-02,27,26.19,6.653061224,17.77,3.05
2001-02,28,23.57,8.033333333,18.01,3.28
2001-02,29,20.25,8.147540984,18.41,3.37
2001-02,29.5,17.56,8.033333333,21.86,3.83
2001-02,30,14.75,7.649122807,22.635,3.915
2001-02,31,10.61,7.649122807,24.95,4.25
2001-02,32,8.15,7.038461538,29.76,4.84
2001-02,33,6.81,7.259259259,30.28,4.91
2001-02,34,3.53,4.5625,32.73,5.22
2001-02,35,1.66,4.885714286,30.69,4.98
2001-02,36,0,4.266666667,52.23,7.02
2001-02,649,132.94,6.5,29.63,1.91
2001-02,657,147.25,6,27.14,1.89
2001-03,2,127.71,6,,
2001-03,3,125.32,7,,
2001-03,4,119.9,9.5,31.09,2.16
2001-03,8,99.77,7.5,,
2001-03,9,96.79,18,,
2001-03,10,93.6,10,,
2001-03,11,89.77,11.5,,
2001-03,12,84.45,5,,
2001-03,13,78.54,5.5,,
2001-03,14,74.43,7,,
2001-03,15,69.99,12.5,,
2001-03,16,63.08,7,,
2001-03,17,58.89,5,,
2001-03,18,54.95,22.5,,
2001-03,20,51.45,12,,
2001-03,21,46.63,9,22.5,2.575
2001-03,22,43.92,9.756756757,23.65,2.65
2001-03,23,39.66,7.75862069,,
2001-03,24,37.09,6.045454545,22.62,2.59
2001-03,25,32.84,4.764705882,18.03,2.31
2001-03,26,28.76,6.045454545,,
2001-03,27,26.19,6.541666667,16.93,2.125
2001-03,28,23.57,8.258064516,19.8,2.62
2001-03,29,20.25,8.033333333,25.9,3.29
2001-03,29.5,17.56,8.258064516,28.56,3.56
2001-03,30,14.75,8,29.475,3.71
2001-03,31,10.61,7.75862069,,
2001-03,32,8.15,6.76,38.705,4.93
2001-03,33,6.81,7.535714286,47.21,5.71
2001-03,34,3.53,4.5,48.94,6.02
2001-03,35,1.66,5.055555556,,
2001-03,36,0,4.266666667,71.66,7.67
2001-03,649,132.94,6.5,,
2001-03,657,147.25,5.5,,
2001-04,2,127.71,6,,
2001-04,3,125.32,6.5,,
2001-04,4,119.9,9,,
2001-04,8,99.77,7.5,,
2001-04,9,96.79,17,,
2001-04,10,93.6,9,,
2001-04,11,89.77,7,,
2001-04,12,84.45,5,,
2001-04,13,78.54,5,,
2001-04,14,74.43,7,,
2001-04,15,69.99,11.5,,
2001-04,16,63.08,7,,
2001-04,17,58.89,6.5,,
2001-04,18,54.95,20.5,,
2001-04,20,51.45,12.5,,
2001-04,21,46.63,8.673469388,,
2001-04,22,43.92,9.019607843,,
2001-04,23,39.66,7.674418605,,
2001-04,24,37.09,4.884615385,,
2001-04,25,32.84,4.181818182,,
2001-04,26,28.76,5.037037037,,
2001-04,27,26.19,6.03030303,,
2001-04,28,23.57,7.674418605,,
2001-04,29,20.25,7.341463415,,
2001-04,29.5,17.56,7.523809524,,
2001-04,30,14.75,6.72972973,,
2001-04,31,10.61,7.025641026,,
2001-04,32,8.15,6.527777778,,
2001-04,33,6.81,6.527777778,,
2001-04,34,3.53,3.95,,
2001-04,35,1.66,4.541666667,,
2001-04,36,0,3.85,,
2001-04,649,132.94,6,,
2001-04,657,147.25,5.5,,
2001-05,2,127.71,9,35.73,2.51
2001-05,3,125.32,6,35.26,2.55
2001-05,4,119.9,6.5,34.72,2.56
2001-05,5,115.63,6,33.53,2.6
2001-05,6,110.9,5,30.88,2.59
2001-05,7,104.98,6.5,26.59,2.43
2001-05,8,99.77,8.5,25.71,2.29
2001-05,9,96.79,13,21.14,2.24
2001-05,10,93.6,8.5,19.01,2.15
2001-05,11,89.77,8.5,15.26,1.91
2001-05,12,84.45,4.5,13.06,1.79
2001-05,13,78.54,5,9.93,1.53
2001-05,14,74.43,7,7.97,1.44
2001-05,15,69.99,12,4.03,1.16
2001-05,16,63.08,7.5,5.74,1.23
2001-05,17,58.89,7,6.11,1.34
2001-05,18,54.95,25,6.085,1.31
2001-05,20,51.45,14,6.13,1.36
2001-05,21,46.63,9,6.28,1.43
2001-05,22,43.92,10,6.65,1.52
2001-05,23,39.66,8.5,,
2001-05,24,37.09,5.5,7.13,1.78
2001-05,25,32.84,5,7.22,2.19
2001-05,26,28.76,6,6.48,2.26
2001-05,27,26.19,7.5,3.64,2.9
2001-05,28,23.57,8,3.12,2.97
2001-05,29,20.25,7.5,4.86,3.86
2001-05,29.5,17.56,8,6.01,4.57
2001-05,30,14.75,7,6.48,4.895
2001-05,649,132.94,5.5,36.36,2.44
2001-05,657,147.25,4.5,37.79,2.46
2001-06,2,127.71,6,,
2001-06,3,125.32,7.5,,
2001-06,4,119.9,9,,
2001-06,8,99.77,8,,
2001-06,9,96.79,13,,
2001-06,10,93.6,10,,
2001-06,11,89.77,10,,
2001-06,12,84.45,5,,
2001-06,13,78.54,5,,
2001-06,14,74.43,7.5,,
2001-06,15,69.99,12,,
2001-06,17,58.89,6.5,,
2001-06,21,46.63,8.5,,
2001-06,22,43.92,9.5,,
2001-06,23,39.66,7.5,,
2001-06,24,37.09,5,,
2001-06,25,32.84,5,,
2001-06,26,28.76,5.5,,
2001-06,27,26.19,6.5,,
2001-06,28,23.57,7.5,,
2001-06,29,20.25,7.5,,
2001-06,29.5,17.56,7.5,,
2001-06,30,14.75,7.5,,
2001-06,31,10.61,7,,
2001-06,32,8.15,7,,
2001-06,33,6.81,7,,
2001-06,34,3.53,4.5,,
2001-06,35,1.66,5,,
2001-06,36,0,4.5,,
2001-06,649,132.94,6.5,,
2001-06,657,147.25,5,,
2001-07,2,127.71,6,,
2001-07,3,125.32,6.5,,
2001-07,4,119.9,9,,
2001-07,8,99.77,8,,
2001-07,9,96.79,17,,
2001-07,10,93.6,9.5,,
2001-07,11,89.77,7,,
2001-07,12,84.45,5,,
2001-07,13,78.54,5,,
2001-07,14,74.43,8,,
2001-07,15,69.99,12.5,,
2001-07,16,63.08,7.5,,
2001-07,17,58.89,6.5,,
2001-07,18,54.95,22.5,,
2001-07,20,51.45,14.5,,
2001-07,21,46.63,8.5,,
2001-07,22,43.92,9.5,,
2001-07,23,39.66,7.5,,
2001-07,24,37.09,5.5,,
2001-07,25,32.84,4.5,,
2001-07,26,28.76,5,,
2001-07,27,26.19,6.5,,
2001-07,28,23.57,8,,
2001-07,29,20.25,8,,
2001-07,29.5,17.56,7.5,,
2001-07,30,14.75,7,,
2001-07,31,10.61,7.5,,
2001-07,32,8.15,7,,
2001-07,33,6.81,7,,
2001-07,34,3.53,4.5,,
2001-07,35,1.66,5,,
2001-07,36,0,4,,
2001-07,649,132.94,6,,
2001-07,657,147.25,5.5,,
2001-09,2,127.71,5.5,,
2001-09,3,125.32,6.5,,
2001-09,4,119.9,8.5,,
2001-09,8,99.77,8,,
2001-09,9,96.79,15.5,,
2001-09,10,93.6,9,,
2001-09,11,89.77,8,,
2001-09,12,84.45,5,,
2001-09,12.5,81.5,4,,
2001-09,13,78.54,6,,
2001-09,14,74.43,7.5,,
2001-09,15,69.99,12,,
2001-09,16,63.08,7,,
2001-09,17,58.89,7,,
2001-09,18,54.95,22.5,,
2001-09,20,51.45,13.5,,
2001-09,21,46.63,9,,
2001-09,22,43.92,10,,
2001-09,23,39.66,8.5,,
2001-09,24,37.09,6,,
2001-09,25,32.84,4.5,,
2001-09,26,28.76,6,,
2001-09,27,26.19,6.5,,
2001-09,28,23.57,8,,
2001-09,29,20.25,8,,
2001-09,29.5,17.56,7.5,,
2001-09,30,14.75,7.5,,
2001-09,31,10.61,7.5,,
2001-09,32,8.15,6.5,,
2001-09,33,6.81,7,,
2001-09,34,3.53,4.5,,
2001-09,35,1.66,4.5,,
2001-09,36,0,4,,
2001-09,649,132.94,6,,
2001-09,657,147.25,5.5,,
2001-10,2,127.71,5.5,,
2001-10,3,125.32,7,,
2001-10,4,119.9,9,,
2001-10,8,99.77,8.5,,
2001-10,9,96.79,13,,
2001-10,10,93.6,10,,
2001-10,11,89.77,8.5,,
2001-10,12,84.45,5,,
2001-10,12.5,81.5,3.5,,
2001-10,13,78.54,6,,
2001-10,15,69.99,12.5,,
2001-10,17,58.89,7,,
2001-10,21,46.63,8.5,,
2001-10,22,43.92,4.5,,
2001-10,23,39.66,7.5,,
2001-10,24,37.09,5,,
2001-10,25,32.84,4.5,,
2001-10,26,28.76,6,,
2001-10,27,26.19,6.5,,
2001-10,28,23.57,8,,
2001-10,29,20.25,8,,
2001-10,29.5,17.56,8,,
2001-10,30,14.75,7.5,,
2001-10,31,10.61,7.5,,
2001-10,32,8.15,7,,
2001-10,33,6.81,7,,
2001-10,34,3.53,5,,
2001-10,35,1.66,5,,
2001-10,36,0,4.5,,
2001-10,649,132.94,5.5,,
2001-11,2,127.71,5.5,,
2001-11,3,125.32,6,,
2001-11,4,119.9,9,,
2001-11,8,99.77,7.5,,
2001-11,9,96.79,17,,
2001-11,10,93.6,9.5,,
2001-11,11,89.77,8,,
2001-11,12,84.45,5.5,,
2001-11,13,78.54,5.5,,
2001-11,14,74.43,8,,
2001-11,15,69.99,12,,
2001-11,16,63.08,7.5,,
2001-11,17,58.89,7,,
2001-11,18,54.95,21,,
2001-11,20,51.45,14,,
2001-11,21,46.63,9.5,,
2001-11,22,43.92,10,,
2001-11,23,39.66,8.5,,
2001-11,24,37.09,6,,
2001-11,25,32.84,5.5,,
2001-11,26,28.76,6,,
2001-11,27,26.19,7.5,,
2001-11,28,23.57,8.5,,
2001-11,29,20.25,8,,
2001-11,29.5,17.56,8.5,,
2001-11,30,14.75,7,,
2001-11,31,10.61,7.5,,
2001-11,32,8.15,6.5,,
2001-11,33,6.81,7.5,,
2001-11,34,3.53,3.5,,
2001-11,35,1.66,4.5,,
2001-11,36,0,3.5,,
2001-11,649,132.94,6,,
2001-11,657,147.25,6,,
2001-12,21,46.63,9.5,25.09,2.94
2001-12,22,43.92,9.5,25.53,3.09
2001-12,23,39.66,8.5,,
2001-12,24,37.09,5.5,28.78,4.1
2001-12,25,32.84,4.5,34.71,5.49
2001-12,26,28.76,5.5,,
2001-12,27,26.19,6.5,37.36,6.24
2001-12,28,23.57,8,,
2001-12,29,20.25,7.5,39.44,6.61
2001-12,29.5,17.56,8,,
2001-12,30,14.75,7.5,45.155,7.295
2001-12,31,10.61,7.5,,
2001-12,32,8.15,6.5,65.46,9.13
2001-12,33,6.81,6.5,80.56,10.45
2001-12,34,3.53,4,92.38,12.33
2001-12,35,1.66,4.5,,
2001-12,36,0,3.5,80.47,10.39
2002-01,2,127.71,6,,
2002-01,3,125.32,6,,
2002-01,4,119.9,8.5,,
2002-01,8,99.77,9,,
2002-01,9,96.79,14.5,,
2002-01,10,93.6,8.5,,
2002-01,11,89.77,7.5,,
2002-01,13,78.54,5,,
2002-01,14,74.43,7.5,,
2002-01,15,69.99,12,,
2002-01,16,63.08,7,,
2002-01,17,58.89,6.5,,
2002-01,18,54.95,20.5,,
2002-01,20,51.45,9.5,,
2002-01,21,46.63,8.5,,
2002-01,22,43.92,9.5,,
2002-01,23,39.66,7.5,,
2002-01,24,37.09,5.5,,
2002-01,25,32.84,4.5,,
2002-01,26,28.76,6,,
2002-01,27,26.19,6,,
2002-01,28,23.57,7.5,,
2002-01,29,20.25,7.5,,
2002-01,29.5,17.56,8.5,,
2002-01,30,14.75,7,,
2002-01,31,10.61,7.5,,
2002-01,32,8.15,6.5,,
2002-01,33,6.81,7.5,,
2002-01,34,3.53,3,,
2002-01,35,1.66,4.5,,
2002-01,36,0,4,,
2002-01,649,132.94,5.5,,
2002-01,657,147.25,5,,
2002-02,21,46.63,9,,
2002-02,22,43.92,10,,
2002-02,23,39.66,8,,
2002-02,24,37.09,5.5,,
2002-02,25,32.84,5,,
2002-02,26,28.76,6,,
2002-02,27,26.19,6.5,,
2002-02,28,23.57,8,,
2002-02,29,20.25,8,,
2002-02,29.5,17.56,7,,
2002-02,30,14.75,7.5,,
2002-02,31,10.61,7.5,,
2002-02,32,8.15,7,,
2002-02,33,6.81,7,,
2002-02,34,3.53,4,,
2002-02,35,1.66,4.5,,
2002-02,36,0,3.5,,
2002-03,2,127.71,5.181818182,28.19,1.65
2002-03,3,125.32,6.5,28.96,1.69
2002-03,4,119.9,8,23.93,1.48
2002-03,5,115.63,6.5,27.12,1.6
2002-03,6,110.9,6,29.78,1.71
2002-03,7,104.98,8.5,32.92,1.94
2002-03,8,99.77,8,33.49,1.94
2002-03,9,96.79,14.5,33.23,1.99
2002-03,10,93.6,9,33.16,2.03
2002-03,11,89.77,9.5,31.47,2.07
2002-03,12,84.45,4.5,,
2002-03,13,78.54,5.5,28.82,2.03
2002-03,14,74.43,7,,
2002-03,15,69.99,11.5,26.57,2
2002-03,16,63.08,6.5,25.29,1.98
2002-03,17,58.89,6.5,24.49,1.99
2002-03,18,54.95,21.5,18.92,1.73
2002-03,20,51.45,13.5,18.86,1.75
2002-03,21,46.63,8.630769231,11.6,1.985
2002-03,22,43.92,9.394366197,10.76,1.81
2002-03,23,39.66,8.05,,
2002-03,24,37.09,5.435897436,0.79,1.88
2002-03,25,32.84,4.451612903,0.94,2.24
2002-03,26,28.76,5.634146341,,
2002-03,27,26.19,6.673469388,1.23,2.4
2002-03,28,23.57,7.793103448,,
2002-03,29,20.25,7.793103448,1.97,2.64
2002-03,29.5,17.56,7.898305085,,
2002-03,30,14.75,7.019230769,4.63,3.275
2002-03,31,10.61,7.277777778,,
2002-03,32,8.15,5.930232558,31.43,5.65
2002-03,33,6.81,6.527777778,,
2002-03,34,3.53,3.961538462,55.33,7.6
2002-03,35,1.66,4.5,,
2002-03,36,0,3.68,61.41,7.91
2002-03,649,132.94,6,20.8,1.33
2002-03,657,147.25,5,20.75,1.35
2002-04,2,127.71,5.5,,
2002-04,3,125.32,6.5,,
2002-04,4,119.9,8,,
2002-04,5,115.63,6,,
2002-04,6,110.9,5.5,,
2002-04,7,104.98,7,,
2002-04,8,99.77,8,,
2002-04,9,96.79,16.5,,
2002-04,10,93.6,7.5,,
2002-04,11,89.77,7,,
2002-04,12,84.45,4.5,,
2002-04,13,78.54,5,,
2002-04,14,74.43,7,,
2002-04,15,69.99,11.5,,
2002-04,16,63.08,7,,
2002-04,17,58.89,6.5,,
2002-04,18,54.95,21,,
2002-04,20,51.45,13,,
2002-04,21,46.63,8.772727273,,
2002-04,22,43.92,9.144927536,,
2002-04,23,39.66,7.517857143,,
2002-04,24,37.09,5.162162162,,
2002-04,25,32.84,4.387096774,,
2002-04,26,28.76,5.41025641,,
2002-04,27,26.19,6.282608696,,
2002-04,28,23.57,7.898305085,,
2002-04,29,20.25,7.4,,
2002-04,29.5,17.56,7.649122807,,
2002-04,30,14.75,7.150943396,,
2002-04,31,10.61,6.921568627,,
2002-04,32,8.15,6.155555556,,
2002-04,33,6.81,6.842105263,,
2002-04,34,3.53,3.434782609,,
2002-04,35,1.66,4.105263158,,
2002-04,36,0,3.962962963,,
2002-04,649,132.94,6,,
2002-04,657,147.25,5.5,,
2002-05,2,127.71,6.5,,
2002-05,3,125.32,6,,
2002-05,4,119.9,8.5,,
2002-05,5,115.63,6,,
